combination,n_models,mean_mae,median_mae
ETS + XGBoost + TFT,3,35.16,16.1
ARIMA + ETS + XGBoost + TFT,4,35.19,16.92
ARIMA + ETS + XGBoost + NBEATS + PatchTST,5,35.19,15.57
ARIMA + ETS + XGBoost + PatchTST,4,35.19,16.44
ARIMA + NBEATS + NHITS + PatchTST + Chronos,5,35.19,16.28
XGBoost + NBEATS + PatchTST,3,35.2,17.03
ARIMA + XGBoost + TFT + Chronos,4,35.2,16.9
ETS + NHITS + PatchTST,3,35.22,18.02
ARIMA + ETS + TFT,3,35.22,18.02
XGBoost + TFT + NBEATS + Chronos,4,35.23,15.52
ETS + Prophet + XGBoost + NHITS,4,35.26,15.11
Prophet + NHITS + PatchTST,3,35.27,17.71
ETS + XGBoost + NBEATS + NHITS + PatchTST,5,35.28,15.91
ARIMA + Prophet + TFT,3,35.29,16.29
ARIMA + XGBoost + NBEATS + PatchTST,4,35.31,16.05
ARIMA + TFT + NBEATS,3,35.32,15.26
ARIMA + ETS + Prophet + XGBoost + Chronos,5,35.33,15.36
ETS + NHITS + Chronos,3,35.34,15.54
ETS + XGBoost + NHITS + Chronos,4,35.35,15.48
ARIMA + XGBoost + NHITS + Chronos,4,35.35,14.91
ARIMA + ETS + XGBoost + NBEATS + NHITS + PatchTST,6,35.35,15.76
ARIMA + Prophet + NBEATS + NHITS + PatchTST,5,35.37,15.5
ETS + NBEATS + PatchTST,3,35.38,17.06
TFT + NBEATS + NHITS + PatchTST,4,35.38,16.92
Prophet + NBEATS + Chronos,3,35.4,16.31
ETS + TFT + NBEATS + NHITS,4,35.42,16.42
Prophet + NBEATS + PatchTST,3,35.42,16.6
ARIMA + ETS + XGBoost + NHITS + Chronos,5,35.43,15.85
ARIMA + Prophet + XGBoost + Chronos,4,35.44,16.23
ARIMA + ETS + Prophet + Chronos,4,35.44,16.13
ARIMA + ETS + NHITS + PatchTST,4,35.44,16.34
ETS + Prophet + XGBoost + NBEATS + NHITS,5,35.44,14.32
ARIMA + ETS + Prophet + XGBoost + NHITS,5,35.47,16.34
ARIMA + ETS + XGBoost + NBEATS + NHITS + Chronos,6,35.49,14.66
ARIMA + XGBoost + TFT,3,35.49,16.2
TFT + PatchTST,2,35.52,18.71
ETS + XGBoost + NBEATS + NHITS + Chronos,5,35.53,15.02
NBEATS + NHITS + PatchTST + Chronos,4,35.54,16.61
Prophet + NBEATS + NHITS + Chronos,4,35.54,16.24
ARIMA + XGBoost + NBEATS + NHITS + Chronos,5,35.54,14.54
ARIMA + ETS + PatchTST,3,35.55,16.28
XGBoost + TFT + NHITS,3,35.57,15.82
